"Title","Author","Recipient","Date","","","From","","","To","Collection"
"Athey22"," D. C. Buckelew "," William  Athey ","January 22, 1876","","Jefferson County","AL","","Montgomery County","AL","Athey Family Letters"
"Athey3"," George W. Athey "," William  Athey ,  Jane  Athey ","February 26, 1862","Mobile","Mobile County","AL","","Montgomery County","AL","Athey Family Letters"
"Athey3"," George W. Athey "," William  Athey ,  Jane  Athey ","February 26, 1862","Mobile","Mobile County","AL","","Montgomery County","AL","Athey Family Letters"
"Athey4"," Josiah B. Athey "," Emily  Athey ","April 26, 1862","","Mobile County","AL","","Montgomery County","AL","Athey Family Letters"
"Averett1"," Harris Hardin Averett "," Malinda  Averett ","July 18, 1862","","Clarke County","AL","","Tallapoosa County","AL","Harris Hardin Averett Correspondence, 1854-1863"
"Averett10"," Malinda  Averett "," Harris Hardin Averett ","","","Tallapoosa County","AL","","","","Harris Hardin Averett Correspondence, 1854-1863"
"Averett11"," P.  Zimmerman "," Malinda  Averett ","October 27, 1863","","","AL","","Tallapoosa County","AL","Harris Hardin Averett Correspondence, 1854-1863"
"Averett2"," Malinda  Averett "," Harris Hardin Averett ","August 2, 1862","","Tallapoosa County","AL","","","","Harris Hardin Averett Correspondence, 1854-1863"
"Averett3"," Harris Hardin Averett "," Malinda  Averett ","August 18, 1863","","","AL","","Tallapoosa County","AL","Harris Hardin Averett Correspondence, 1854-1863"
"Averett4"," Malinda  Averett "," Harris Hardin Averett ","August 25, 1863","","Tallapoosa County","AL","","","","Harris Hardin Averett Correspondence, 1854-1863"
"Averett5"," Harris Hardin Averett "," Malinda  Averett ","August 25, 1863","","","AL","","Tallapoosa County","AL","Harris Hardin Averett Correspondence, 1854-1863"
"Averett6"," Malinda  Averett "," Harris Hardin Averett ","September 4, 1863","","Tallapoosa County","AL","","","","Harris Hardin Averett Correspondence, 1854-1863"
"Averett7"," Malinda  Averett "," Harris Hardin Averett ","September 11, 1863","","Tallapoosa County","AL","","","","Harris Hardin Averett Correspondence, 1854-1863"
"Averett8"," Harris Hardin Averett "," Malinda  Averett ","","","","AL","","Tallapoosa County","AL","Harris Hardin Averett Correspondence, 1854-1863"
"Averett9"," Malinda  Averett "," Harris Hardin Averett ","October 2, 1863","","Tallapoosa County","AL","","","","Harris Hardin Averett Correspondence, 1854-1863"
"Barkley2"," William  Barkley "," Josiah M. Barkley ,  Elizabeth   Barkley ","September 3, 1861","","Cherokee County","AL","","Anderson County","SC","Barkley Family Letters, 1861-1864 "
"Barkley2"," William  Barkley "," Josiah M. Barkley ,  Elizabeth   Barkley ","September 3, 1861","","Cherokee County","AL","","Anderson County","SC","Barkley Family Letters, 1861-1864 "
"Barkley3"," Anah Lucinda  McCalister Barkley "," John B.O. Barkley ","September 27, 1861","","Cherokee County","AL","","","","Barkley Family Letters, 1861-1864 "
"Bigbie2"," Thomas T. Bigbie "," Thomas  Bigbie ","June 21, 1862","Greenville","Butler County","AL","","","AL","Thomas Bigbie Papers"
"Buford2"," John W. Clark "," Louisa L. Clark ","February 15, 1861","Florence","Lauderdale County","AL","Attalaville","Attala County","MS","Buford and Clark Letters"
"Carter1"," Jesse  Carter "," Julian  Carter ","May 21, 1863","","Montgomery County","AL","","Williamsburg County","SC","Jesse Carter Papers, 1863"
"Collins4"," Hiram  Hill Collins "," Mary A. Collins ","October 31, 1864","Opelika","","AL","Olive Brance","De Soto County","MS","Hirim Hill Collins Papers "
"Collins5"," Hiram  Hill Collins "," Mary A. Collins ","September 22, 1864","Opelika","","AL","Olive Brance","De Soto County","MS","Hirim Hill Collins Papers "
"Collins6"," Hiram  Hill Collins "," Mary A. Collins ","September 28, 1864","Opelika","","AL","Olive Brance","De Soto County","MS","Hirim Hill Collins Papers "
"Collins7"," Hiram  Hill Collins "," Mary A. Collins ","October 1, 1864","Opelika","","AL","Olive Brance","De Soto County","MS","Hirim Hill Collins Papers "
"Collins7"," Hiram  Hill Collins "," Mary A. Collins ","November 5, 1864","Opelika","","AL","Olive Brance","De Soto County","MS","Hirim Hill Collins Papers "
"Diltz25"," George  Milledge "," Mary Milledge Diltz ","April 18, 1864","Bridgeport","","AL","Urbana","Champaign County","OH","Joseph Sherman Diltz Papers"
"Erisman3"," Henry M. Erisman ","Friend of Abraham Erisman ","June 15, 1862","","Colbert County","AL","","Lancaster County","PA","Henry Erisman Letters"
"Erisman8"," Adam  Pontz "," Henry M. Erisman ","January 13, 1865","Huntsville","","AL","","","","Henry Erisman Letters"
"Fleming1"," William V. Fleming "," Margaret  Fleming ","May 12, 1862","Mobile","","AL","","Covington County","AL","W. V. Fleming Correspondences, SPR "
"Fleming2"," William V. Fleming "," Margaret  Fleming ","May 29, 1862","Mobile","","AL","","Covington County","AL","W. V. Fleming Correspondences, SPR "
"Fleming3"," William V. Fleming "," Mary Susan Fleming ","September 14, 1864","Blakeley","Baldwin County","AL","","Covington County","AL","W. V. Fleming Correspondences, SPR "
"Fleming4"," William V. Fleming "," Mary Susan Fleming ","January 2, 1865","Greenville","","AL","","Covington County","AL","W. V. Fleming Correspondences, SPR "
"Foust1"," Charles Wesley Foust "," David  Foust ","July 5, 1856","","Jefferson County","AL","","Shelby County","AL","Charles Wesley Foust Letters"
"Foust2"," Charles Wesley Foust "," David  Foust ","December 14, 1860","","Jefferson County","AL","","Shelby County","AL","Charles Wesley Foust Letters"
"Fuller1"," Solon L. Fuller "," Elizabeth Smith Fuller ","October 7, 1862","","Tallapoosa County","AL","","","","Solon L. Fuller Papers"
"Gilliland1"," William  Gilliland "," Martha J. Gilliland ","April 24, 1863","","Talladega County","AL","","Marshall County","AL","William Gilliland Letters"
"Gilliland9"," Franklin  Gilliland "," Martha J. Gilliland ","February 2, 1865","Mobile","Mobile County","AL","","Marshall County","AL","William Gilliland Letters"
"Hunter1"," Sarah A. Taylor "," Martha  Hunter ","July 17, 1857","","Randolph County","AL","","Choctaw County","MS","Hunter Family Letters"
"Hunter2"," Sarah A. Taylor "," Martha  Hunter ","April 30, 1858","","Randolph County","AL","","Choctaw County","MS","Hunter Family Letters"
"Hunter8"," John R. Womack "," George W. Womack ","March 18, 1862","Tuscumbia","","AL","","Choctaw County","MS","Hunter Family Letters"
"J.W.Stewart1"," James Washington Stewart "," Mary  Ann Stewart ","May 13, 1863","","Talladega County","AL","","Talladega County","AL","James Washington Stewart Letters"
"J.W.Stewart10"," James Washington Stewart "," Mary  Ann Stewart ","October 16, 1863","","Talladega County","AL","","Talladega County","AL","James Washington Stewart Letters"
"J.W.Stewart11"," James Washington Stewart "," Mary  Ann Stewart ","November 4, 1863","","Shelby County","AL","","Talladega County","AL","James Washington Stewart Letters"
"J.W.Stewart12"," James Washington Stewart "," Mary  Ann Stewart ","November 14, 1863","","Macon County","AL","","Talladega County","AL","James Washington Stewart Letters"
"J.W.Stewart2"," James Washington Stewart "," Mary  Ann Stewart ","June 23, 1863","","Talladega County","AL","","Talladega County","AL","James Washington Stewart Letters"
"J.W.Stewart3"," James Washington Stewart "," Mary  Ann Stewart ","August 17, 1863","","Shelby County","AL","","Talladega County","AL","James Washington Stewart Letters"
"J.W.Stewart4"," James Washington Stewart "," Mary  Ann Stewart ","August 20, 1863","","Shelby County","AL","","Talladega County","AL","James Washington Stewart Letters"
"J.W.Stewart5"," James Washington Stewart "," Mary  Ann Stewart ","August 25, 1863","","Shelby County","AL","","Talladega County","AL","James Washington Stewart Letters"
"J.W.Stewart6"," James Washington Stewart "," Mary  Ann Stewart ","September 3, 1863","","Shelby County","AL","","Talladega County","AL","James Washington Stewart Letters"
"J.W.Stewart7"," James Washington Stewart "," Mary  Ann Stewart ","September 10, 1863","","Shelby County","AL","","Talladega County","AL","James Washington Stewart Letters"
"J.W.Stewart8"," James Washington Stewart "," Mary  Ann Stewart ","September 17, 1863","","Shelby County","AL","","Talladega County","AL","James Washington Stewart Letters"
