"Title","Author","Recipient","Date","","","From","","","To","Collection"
"Band1"," William  Band "," Mary Ann  Band ","August 30, 1861","","","DC","Chester","Delaware County","PA","Band-Martin Papers"
"Band4"," William  Band "," Mary Ann  Band ","October 2, 1862","","","DC","Chester","Delaware County","PA","Band-Martin Papers"
"Band8"," William  Band "," Mary Ann  Band ","October 31, 1861","","","DC","Chester","Delaware County","PA","Band-Martin Papers"
"Barlow2"," Joseph  Barlow "," Ellen  Barlow ","May 5, 1861","","","DC","Newburyport","Essex County","MA","Joseph Barlow Collection"
"Barlow3"," Joseph  Barlow "," Ellen  Barlow ","May 10, 1861","","","DC","Newburyport","Essex County","MA","Joseph Barlow Collection"
"Barlow4"," Joseph  Barlow "," Ellen  Barlow ","May 12, 1861","","","DC","Newburyport","Essex County","MA","Joseph Barlow Collection"
"Blackington4"," Lyman D.  Blackington "," Hannah  Blackington ","September 3, 1861","","","DC","North Attleboro","","MA","Lyman and Jacob Blackington Papers"
"Blackington5"," Lyman D.  Blackington "," Keziah  Blackington ,  Hannah  Blackington ","","","","DC","North Attleboro","","MA","Lyman and Jacob Blackington Papers"
"Blackington5"," Lyman D.  Blackington "," Keziah  Blackington ,  Hannah  Blackington ","","","","DC","North Attleboro","","MA","Lyman and Jacob Blackington Papers"
"Boyer1"," Emaniel  Ditzler "," “Dear mother” ","October 2, 1862","","","DC","","","PA","Boyer Family Papers"
"Boyer15"," John  Boyer "," Peter  Boyer Sr.","May 24, 1863","","","DC","","Lancaster County","PA","Boyer Family Papers"
"Boyer17"," John  Boyer "," Peter  Boyer Sr.","June 24, 1863","","","DC","","Lancaster County","PA","Boyer Family Papers"
"Brackett10"," Orrin William Brackett "," Hattie  Walker ","November 29, 1862","","","DC","","","","Brackett Family"
"Breneman1"," Amos  Breneman "," Abraham  Good ","November 19, 1864","","","DC","","","","Breneman Letters"
"Cauler17"," Samuel Y. Cauler "," Louisa  Cauler ","September 23, 1864","","","DC","Caernarvan Township","Lancaster County","PA","Samuel Y. Cauler Papers"
"Cauler3"," Samuel Y. Cauler "," Louisa  Cauler ","July 11, 1864","","","DC","Caernarvan Township","Lancaster County","PA","Samuel Y. Cauler Papers"
"Cauler4"," Samuel Y. Cauler "," Louisa  Cauler ","July 18, 1884","","","DC","Caernarvan Township","Lancaster County","PA","Samuel Y. Cauler Papers"
"Cauler43"," Samuel Y. Cauler "," Louisa  Cauler ","May 18, 1865","","","DC","Caernarvan Township","Lancaster County","PA","Samuel Y. Cauler Papers"
"Cauler44"," Samuel Y. Cauler "," Louisa  Cauler ","May 21, 1865","","","DC","Caernarvan Township","Lancaster County","PA","Samuel Y. Cauler Papers"
"Cauler45"," Samuel Y. Cauler "," Louisa  Cauler ","May 30, 1865","","","DC","Caernarvan Township","Lancaster County","PA","Samuel Y. Cauler Papers"
"Cauler46"," Samuel Y. Cauler "," Louisa  Cauler ","June 4, 1865","","","DC","Caernarvan Township","Lancaster County","PA","Samuel Y. Cauler Papers"
"Cauler9"," Samuel Y. Cauler "," Louisa  Cauler ","August 10, 1864","","","DC","Caernarvan Township","Lancaster County","PA","Samuel Y. Cauler Papers"
"Copenhaver1"," John B. Copenhaver "," Magdalen  Copenhaver ","January 22, 1862","","","DC","","Lebanon County","PA","Rogers Family Papers"
"DanielLee7"," Daniel B. Lee "," Jane  Lee ","May 1, 1864","","","DC","West Almond","Allegany County","NY","Daniel B. Lee Letters"
"Davis1"," Obed R. Davis  ","“Dear Mother”","May 1, 1861","","","DC","","Suffolk County","MA","Obed Davis Collection "
"EdwardHenry1"," Edward  Henry ","Unknown Recipient","November 12, 1861","","","DC","","","","Edward Henry Collection"
"Englehart1"," Francis A. Englehart "," Lydia  Englehart ","June 30, 1861","","","DC","Lockport","Niagara County","NY","Francis Englehart Papers"
"Faust42"," Daniel  Faust "," Rebecca   Faust ","","","","DC","Mahanoy City","Schuylkill County","PA","Daniel Faust Letters"
