"Title","Author","Recipient","Date","","","From","","","To","Collection"
" Oswalt2"," Henry  Oswalt "," Permelia  Oswalt ","April 2, 1863","Atlanta","","GA","Starkville","Oktibbeha County","MS","Oswalt Family Collection"
"Adams1"," John M. Adams,  Lucinda M. Ellis"," Emily S. Posey","November 25, 1861","","Henry County","GA","","","","John M. Adams Letter"
"Adams1"," John M. Adams,  Lucinda M. Ellis"," Emily S. Posey","November 25, 1861","","Henry County","GA","","","","John M. Adams Letter"
"Athey12"," George W. Athey "," William  Athey ,  Jane  Athey ","September 23, 1863","Chickamauga","Walker County","GA","","Montgomery County","AL","Athey Family Letters"
"Athey12"," George W. Athey "," William  Athey ,  Jane  Athey ","September 23, 1863","Chickamauga","Walker County","GA","","Montgomery County","AL","Athey Family Letters"
"Athey13"," W. Champion Athey "," Emily  Athey ","September 29, 1863","Chickamauga","Walker County","GA","","Montgomery County","AL","Athey Family Letters"
"Athey17"," George W. Athey "," Emily  Athey ","August 2, 1864","Atlanta","Fulton County","GA","","Montgomery County","AL","Athey Family Letters"
"Athey19"," George W. Athey "," William  Athey ","September 5, 1864","Lovejoy","Clayton County","GA","","Montgomery County","AL","Athey Family Letters"
"Bigbie16"," Thomas T. Bigbie "," Mary  Jane Bigbie ,  Green  Lewis ,  Mary Catherine Lewis ","December 7, 1863","Tunnel Hill","","GA","","","AL","Thomas Bigbie Papers"
"Bigbie16"," Thomas T. Bigbie "," Mary  Jane Bigbie ,  Green  Lewis ,  Mary Catherine Lewis ","December 7, 1863","Tunnel Hill","","GA","","","AL","Thomas Bigbie Papers"
"Bigbie16"," Thomas T. Bigbie "," Mary  Jane Bigbie ,  Green  Lewis ,  Mary Catherine Lewis ","December 7, 1863","Tunnel Hill","","GA","","","AL","Thomas Bigbie Papers"
"Bigbie18"," Thomas T. Bigbie "," Ann  Bigbie ","December 15, 1863","Tunnel Hill","","GA","","","AL","Thomas Bigbie Papers"
"Bigbie19"," Thomas T. Bigbie "," Mary  Jane Bigbie ","December 17, 1863","Tunnel Hill","","GA","","","AL","Thomas Bigbie Papers"
"Bigbie20"," Thomas T. Bigbie "," Mary  Jane Bigbie ","December 24, 1863","Tunnel Hill","","GA","","","AL","Thomas Bigbie Papers"
"Bigbie21"," Thomas T. Bigbie "," Mary  Jane Bigbie ","December 25, 1863","Tunnel Hill","","GA","","","AL","Thomas Bigbie Papers"
"Bigbie24"," Thomas T. Bigbie "," Mary  Jane Bigbie ","January 25, 1864","Tunnel Hill","","GA","","","AL","Thomas Bigbie Papers"
"Bigbie25"," Thomas T. Bigbie "," Mary  Jane Bigbie ","February 13, 1864","Tunnel Hill","","GA","","","AL","Thomas Bigbie Papers"
