"Title","Author","Recipient","Date","","","From","","","To","Collection"
"Athey5"," Wilson  Athey "," Emily  Athey ","June 16, 1862","Tupelo","Itawamba County","MS","","Montgomery County","AL","Athey Family Letters"
"Athey9"," Josiah B. Athey "," Emily  Athey ,  James  Athey ","May 18, 1863","Okolona","Chickasaw County","MS","","Montgomery County","AL","Athey Family Letters"
"Athey9"," Josiah B. Athey "," Emily  Athey ,  James  Athey ","May 18, 1863","Okolona","Chickasaw County","MS","","Montgomery County","AL","Athey Family Letters"
"Barkley19"," Martin V.  Barkley "," Josiah M. Barkley ,  Elizabeth   Barkley ","June 5, 1863","Jackson ","","MS","","Anderson County","SC","Barkley Family Letters, 1861-1864 "
"Barkley19"," Martin V.  Barkley "," Josiah M. Barkley ,  Elizabeth   Barkley ","June 5, 1863","Jackson ","","MS","","Anderson County","SC","Barkley Family Letters, 1861-1864 "
"Barkley29"," Nancy  Richardson "," Martin V.  Barkley ","June 13, 1864","","Attala County","MS","","","","Barkley Family Letters, 1861-1864 "
"Boyd17"," John Thomas Boyd "," Robert  Boyd ","May 11, 1862","","Tishomingo County","MS","","Abbeville County","SC","Robert Boyd Papers, 1861-1871"
"Buckley1"," Reuben E. Buckley "," Martha  Buckley ","January 30, 1863","Enterprise","Clarke County","MS","","Scott County","MS","Buckley Civil War Letters"
"Buckley2"," Reuben E. Buckley "," Martha  Buckley ","May 6, 1863","","","MS","","Scott County","MS","Buckley Civil War Letters"
"Buford1"," Susan A. Buntin "," Louisa L. Clark ,  Fannie  Buford ","February 3, 1861","Oakland","Yalobusha County","MS","Attalaville","Attala County","MS","Buford and Clark Letters"
"Buford1"," Susan A. Buntin "," Louisa L. Clark ,  Fannie  Buford ","February 3, 1861","Oakland","Yalobusha County","MS","Attalaville","Attala County","MS","Buford and Clark Letters"
"Buford11"," Fannie  Buford ,  Susan A. Buntin "," Louisa L. Clark ","November 1, 1861","Oakland","","MS","Attalaville","Attala County","MS","Buford and Clark Letters"
"Buford11"," Fannie  Buford ,  Susan A. Buntin "," Louisa L. Clark ","November 1, 1861","Oakland","","MS","Attalaville","Attala County","MS","Buford and Clark Letters"
"Buford12"," John  Cummings "," Silas H. Clark ","December 12, 1861","Goodman","Holmes County","MS","Attalaville","Attala County","MS","Buford and Clark Letters"
"Buford15"," F. S. Clark "," Silas H. Clark ","January 15, 1863","Grenada","","MS","Attalaville","Attala County","MS","Buford and Clark Letters"
"Buford16"," F. S. Clark "," Silas H. Clark ","February 12, 1863","Jackson","Hinds County","MS","Attalaville","Attala County","MS","Buford and Clark Letters"
"Carter2"," Jesse  Carter "," Julian  Carter ","June 15, 1863","Jackson","","MS","","Williamsburg County","SC","Jesse Carter Papers, 1863"
"Carter3"," Jesse  Carter "," Julian  Carter ","June 21, 1863","Jackson","","MS","","Williamsburg County","SC","Jesse Carter Papers, 1863"
"Carter4"," Jesse  Carter "," Jane  Carter ,  Julian  Carter ","","Jackson","","MS","","Williamsburg County","SC","Jesse Carter Papers, 1863"
"Carter4"," Jesse  Carter "," Jane  Carter ,  Julian  Carter ","","Jackson","","MS","","Williamsburg County","SC","Jesse Carter Papers, 1863"
"Coleman1"," Isaac B. Coleman "," Nancy  Coleman ","January 24, 1863","Vicksburg","Warren County","MS","","Talladega County","AL","Isaac B. Coleman letter"
