"Title","Author","Recipient","Date","","","From","","","To","Collection"
" Brotherton1"," William H. Brotherton "," Thomas  Brotherton ,  Nancy  Brotherton ,  Martha Elizabeth Brotherton ,  Polly  Howard ","September 7, 1862","Salisbury","","NC","","Catawba County","NC","William H. Brotherton Papers, 1861-1870"
" Brotherton1"," William H. Brotherton "," Thomas  Brotherton ,  Nancy  Brotherton ,  Martha Elizabeth Brotherton ,  Polly  Howard ","September 7, 1862","Salisbury","","NC","","Catawba County","NC","William H. Brotherton Papers, 1861-1870"
" Brotherton1"," William H. Brotherton "," Thomas  Brotherton ,  Nancy  Brotherton ,  Martha Elizabeth Brotherton ,  Polly  Howard ","September 7, 1862","Salisbury","","NC","","Catawba County","NC","William H. Brotherton Papers, 1861-1870"
" Brotherton1"," William H. Brotherton "," Thomas  Brotherton ,  Nancy  Brotherton ,  Martha Elizabeth Brotherton ,  Polly  Howard ","September 7, 1862","Salisbury","","NC","","Catawba County","NC","William H. Brotherton Papers, 1861-1870"
"Barkley15"," George R. Barkley "," Josiah M. Barkley ,  Elizabeth   Barkley ","November 18, 1862","Kinston","","NC","","Anderson County","SC","Barkley Family Letters, 1861-1864 "
"Barkley15"," George R. Barkley "," Josiah M. Barkley ,  Elizabeth   Barkley ","November 18, 1862","Kinston","","NC","","Anderson County","SC","Barkley Family Letters, 1861-1864 "
"Barlow24"," Joseph  Barlow "," Ellen  Barlow ","January 30, 1862","Pamlico Sound","","NC","Newburyport","Essex County","MA","Joseph Barlow Collection"
"Barlow25"," Joseph  Barlow "," Ellen  Barlow ","February 2, 1862","Pamlico Sound","","NC","Newburyport","Essex County","MA","Joseph Barlow Collection"
"Barlow26"," Joseph  Barlow "," Ellen  Barlow ","February 14, 1862","Roanoke Island","","NC","Newburyport","Essex County","MA","Joseph Barlow Collection"
"Barlow27"," Joseph  Barlow "," Ellen  Barlow ","March 24, 1862","New Bern","","NC","Newburyport","Essex County","MA","Joseph Barlow Collection"
"Barlow28"," Joseph  Barlow "," Ellen  Barlow ","March 25, 1862","New Bern","","NC","Newburyport","Essex County","MA","Joseph Barlow Collection"
"Barlow29"," Joseph  Barlow "," Ellen  Barlow ","April 5, 1862","New Bern","","NC","Newburyport","Essex County","MA","Joseph Barlow Collection"
"Barlow30"," Joseph  Barlow "," Ellen  Barlow ","April 14, 1862","New Bern","","NC","Newburyport","Essex County","MA","Joseph Barlow Collection"
"Barlow32"," Joseph  Barlow "," Ellen  Barlow ","April 24, 1862","New Bern","","NC","Newburyport","Essex County","MA","Joseph Barlow Collection"
"Barlow33"," Joseph  Barlow "," Ellen  Barlow ","April 29, 1862","New Bern","","NC","Newburyport","Essex County","MA","Joseph Barlow Collection"
"Barlow34"," Joseph  Barlow "," Ellen  Barlow ","May 28, 1862","New Bern","","NC","Newburyport","Essex County","MA","Joseph Barlow Collection"
"Barlow35"," Joseph  Barlow "," Ellen  Barlow ","May 30, 1862","New Bern","","NC","Newburyport","Essex County","MA","Joseph Barlow Collection"
"Barlow36"," Joseph  Barlow "," Ellen  Barlow ","June 2, 1862","New Bern","","NC","Newburyport","Essex County","MA","Joseph Barlow Collection"
"Barlow37"," Joseph  Barlow "," Ellen  Barlow ","June 15, 1862","New Bern","","NC","Newburyport","Essex County","MA","Joseph Barlow Collection"
"Barlow38"," Joseph  Barlow "," Ellen  Barlow ","June 29, 1862","New Bern","","NC","Newburyport","Essex County","MA","Joseph Barlow Collection"
"Barlow39"," Joseph  Barlow "," Ellen  Barlow ","June 24, 1862","New Bern","","NC","Newburyport","Essex County","MA","Joseph Barlow Collection"
