"Title","Author","Recipient","Date","","","From","","","To","Collection"
"Barker1"," Peter M. Barker "," John Randolph Barker ","April 21, 1862","Columbus","","OH","Newberg","Franklin County","MS","Peter Barker Letter"
"Bishop2"," William Tilmon Bishop "," Sarah Adeline Bishop ","October 20, 1863","Johnson's Island","Ottawa County","OH","","Marion County","AL","William Tilmon Bishop Letters"
"CharlesTaylor1"," Charles F. Taylor "," Deborah  Taylor ","April 20, 1862","Columbus","","OH","Pittsboro","Calhoun County","MS","Charles F. Taylor Letters"
"Covert1"," Thomas M. Covert "," Phoebe  Covert ","November 13, 1861","Warren","","OH","Orwell","Ashtabula County","OH","Thomas M. Covert Papers"
"Covert2"," Thomas M. Covert "," Phoebe  Covert ","December 3, 1861","Warren","","OH","Orwell","Ashtabula County","OH","Thomas M. Covert Papers"
"Covert3"," Thomas M. Covert "," Phoebe  Covert ","February 3, 1862","Germany","","OH","Orwell","Ashtabula County","OH","Thomas M. Covert Papers"
"Covert4"," W. A. Covert "," Thomas M. Covert ","February 9, 1862","Hartsgrove","","OH","Germany","","OH","Thomas M. Covert Papers"
"Covert5"," Thomas M. Covert "," Edith  Covert ","February 9, 1862","Germany","","OH","Orwell","Ashtabula County","OH","Thomas M. Covert Papers"
"Covert6"," Thomas M. Covert "," Phoebe  Covert ","February 14, 1862","Germany","","OH","Orwell","Ashtabula County","OH","Thomas M. Covert Papers"
"Covert7"," Thomas M. Covert "," Phoebe  Covert ","February 25, 1862","Germany","","OH","Orwell","Ashtabula County","OH","Thomas M. Covert Papers"
"Covert8"," Thomas M. Covert "," Phoebe  Covert ","April 23, 1862","Columbus","","OH","Orwell","Ashtabula County","OH","Thomas M. Covert Papers"
"Covert9"," Thomas M. Covert "," Phoebe  Covert ","May 9, 1862","Columbus","","OH","Orwell","Ashtabula County","OH","Thomas M. Covert Papers"
"Crist1"," Gerard E. Crist "," Mary  Crist ","August 29, 1864","Columbus","","OH","","Augusta County","VA","G. E. Crist Letter"
"Diltz11"," Mary Milledge Diltz "," Joseph S. Diltz ","April 8, 1862","Urbana","Champaign County","OH","","","VA","Joseph Sherman Diltz Papers"
"Diltz18"," Mary Milledge Diltz "," Joseph S. Diltz ","May 3, 1863","Urbana","Champaign County","OH","","","","Joseph Sherman Diltz Papers"
"Diltz19"," Mary Milledge Diltz "," Joseph S. Diltz ","May 6, 1863","Urbana","Champaign County","OH","","","","Joseph Sherman Diltz Papers"
"Diltz22"," Joseph S. Diltz "," Catherine  Diltz  ","June 24, 1863","","Champaign County","OH","","","","Joseph Sherman Diltz Papers"
"Diltz4"," Mary Milledge Diltz "," Joseph S. Diltz ","January 26, 1862","Urbana","Champaign County","OH","","Allegany County","MD","Joseph Sherman Diltz Papers"
"Diltz6"," Mary Milledge Diltz "," Joseph S. Diltz ","February 9, 1862","Urbana","Champaign County","OH","","","","Joseph Sherman Diltz Papers"
"Diltz7"," Mary Milledge Diltz "," Joseph S. Diltz ","February 27, 1862","Urbana","Champaign County","OH","","","","Joseph Sherman Diltz Papers"
"Fell1"," Albinus  Fell "," Diana “Mit” Fell ","January 12, 1862","Germany","","OH","Fowler Township","Trumbull County","OH",""
"Fell10"," Albinus  Fell "," Diana “Mit” Fell ","May 11, 1862","Columbus","","OH","Fowler Township","Trumbull County","OH","Albinus Fell Collection"
"Fell2"," Albinus  Fell "," Diana “Mit” Fell ","January 19, 1862","Germany","","OH","Fowler Township","Trumbull County","OH","Albinus Fell Collection"
"Fell3"," Albinus  Fell "," Diana “Mit” Fell ","February 10, 1862","Germany","","OH","Fowler Township","Trumbull County","OH","Albinus Fell Collection"
"Fell4"," Albinus  Fell "," Diana “Mit” Fell ","February 19, 1862","Germany","","OH","Fowler Township","Trumbull County","OH","Albinus Fell Collection"
"Fell5"," Albinus  Fell "," Diana “Mit” Fell ","March 29, 1862","Germany","","OH","Fowler Township","Trumbull County","OH","Albinus Fell Collection"
"Fell6"," Albinus  Fell "," Diana “Mit” Fell ","April 16, 1862","Columbus","","OH","Fowler Township","Trumbull County","OH","Albinus Fell Collection"
