"Title","Author","Recipient","Date","","","From","","","To","Collection"
" Bamberger2"," Zachariah  Bamberger "," Barbara  Bamberger ","February 13, 1865","McConnellsburg","Fulton County","PA","","Cumberland County","PA","Zachariah Bamberger Papers"
"Andrea1"," Frederick  Andrea "," Jacob  Andrea ","May 12, 1861","Chambersburg","","PA","","","","Letter of Frederick Andrea"
"Bamberger1"," Zachariah  Bamberger "," Barbara  Bamberger ","December 11, 1864","McConnellsburg","Fulton County","PA","","Cumberland County","PA","Zachariah Bamberger Papers"
"Bamberger3"," Zachariah  Bamberger "," Barbara  Bamberger ","February 18, 1865","McConnellsburg","Fulton County","PA","","Cumberland County","PA","Zachariah Bamberger Papers"
"Bamberger4"," Zachariah  Bamberger "," Barbara  Bamberger ","February 23, 1865","McConnellsburg","Fulton County","PA","","Cumberland County","PA","Zachariah Bamberger Papers"
"Bamberger5"," Zachariah  Bamberger "," Barbara  Bamberger ","March 31, 1865","McConnellsburg","Fulton County","PA","","Cumberland County","PA","Zachariah Bamberger Papers"
"Bamberger6"," Zachariah  Bamberger "," Barbara  Bamberger ","April 4, 1865","McConnellsburg","Fulton County","PA","","Cumberland County","PA","Zachariah Bamberger Papers"
"Bamberger7"," Zachariah  Bamberger "," Barbara  Bamberger ","May 23, 1865","McConnellsburg","Fulton County","PA","","Cumberland County","PA","Zachariah Bamberger Papers"
"Bamberger8"," Zachariah  Bamberger "," Barbara  Bamberger ","May 31, 1865","McConnellsburg","Fulton County","PA","","Cumberland County","PA","Zachariah Bamberger Papers"
"Band10"," Mary Ann  Band ,  William  Band "," William  Band ,  Mary Ann  Band ","November 8, 1861","Chester","Delaware County","PA","","","","Band-Martin Papers"
"Band10"," Mary Ann  Band ,  William  Band "," William  Band ,  Mary Ann  Band ","November 8, 1861","Chester","Delaware County","PA","","","","Band-Martin Papers"
"Band10"," Mary Ann  Band ,  William  Band "," William  Band ,  Mary Ann  Band ","November 8, 1861","Chester","Delaware County","PA","","","","Band-Martin Papers"
"Band10"," Mary Ann  Band ,  William  Band "," William  Band ,  Mary Ann  Band ","November 8, 1861","Chester","Delaware County","PA","","","","Band-Martin Papers"
"Band92"," William  Band "," Mary Ann  Band ","July 4, 1864","Waynesboro","Franklin County","PA","Chester","Delaware County","PA","Band-Martin Papers"
"Benson10"," Mary  Benson "," Fleetwood   Benson ","April 8, 1865","Clover Creek","Blair County","PA","Hilton Head Island","","SC","Fleetwood Benson Papers"
"Benson13"," Mary  Benson "," Fleetwood   Benson ","April 15, 1865","Clover Creek","Blair County","PA","Petersburg","","VA","Fleetwood Benson Papers"
"Benson17"," Mary  Benson "," Fleetwood   Benson ","May 19, 1865","Clover Creek","Blair County","PA","Norfolk","","VA","Fleetwood Benson Papers"
"Benson18"," Martha  Benson ,  Mary  Benson "," Fleetwood   Benson ","May 21, 1865","Clover Creek","Blair County","PA","Norfolk","","VA","Fleetwood Benson Papers"
"Benson18"," Martha  Benson ,  Mary  Benson "," Fleetwood   Benson ","May 21, 1865","Clover Creek","Blair County","PA","Norfolk","","VA","Fleetwood Benson Papers"
"Benson19"," Emma  Benson "," Fleetwood   Benson ","May 24, 1865","Clover Creek","Blair County","PA","Norfolk","","VA","Fleetwood Benson Papers"
"Benson20"," Mary  Benson "," Fleetwood   Benson ","May 25, 1865","Clover Creek","Blair County","PA","Norfolk","","VA","Fleetwood Benson Papers"
"Benson24"," Mary  Benson "," Fleetwood   Benson ","June 15, 1865","Clover Creek","Blair County","PA","Norfolk","","VA","Fleetwood Benson Papers"
"Benson27"," Mary  Benson "," Fleetwood   Benson ","June 23, 1865","Clover Creek","Blair County","PA","Norfolk","","VA","Fleetwood Benson Papers"
"Benson29"," Mary  Benson "," Fleetwood   Benson ","July 2, 1865","Clover Creek","Blair County","PA","Norfolk","","VA","Fleetwood Benson Papers"
"Benson3"," Mary  Benson "," Fleetwood   Benson ","March 5, 1865","Clover Creek","Blair County","PA","Hilton Head Island","","SC","Fleetwood Benson Papers"
"Benson31"," Mary  Benson "," Fleetwood   Benson ","July 9, 1865","Clover Creek","Blair County","PA","Norfolk","","VA","Fleetwood Benson Papers"
