"Title","Author","Recipient","Date","","","From","","","To","Collection"
"Barkely20"," Eliab Hazard Barkley ,  Anah Lucinda  McCalister Barkley ,  Elizabeth   Barkley ,  Josiah M. Barkley "," John B.O. Barkley ","June 20, 1863","","Anderson County","SC","","","","Barkley Family Letters, 1861-1864 "
"Barkely20"," Eliab Hazard Barkley ,  Anah Lucinda  McCalister Barkley ,  Elizabeth   Barkley ,  Josiah M. Barkley "," John B.O. Barkley ","June 20, 1863","","Anderson County","SC","","","","Barkley Family Letters, 1861-1864 "
"Barkely20"," Eliab Hazard Barkley ,  Anah Lucinda  McCalister Barkley ,  Elizabeth   Barkley ,  Josiah M. Barkley "," John B.O. Barkley ","June 20, 1863","","Anderson County","SC","","","","Barkley Family Letters, 1861-1864 "
"Barkely20"," Eliab Hazard Barkley ,  Anah Lucinda  McCalister Barkley ,  Elizabeth   Barkley ,  Josiah M. Barkley "," John B.O. Barkley ","June 20, 1863","","Anderson County","SC","","","","Barkley Family Letters, 1861-1864 "
"Barkley1"," William Pleasant Traynham "," John B.O. Barkley ","March 11, 1861","","Laurens County","SC","","","","Barkley Family Letters, 1861-1864 "
"Barkley10"," A.  Campbell "," John B.O. Barkley ","April 18, 1862","Sullivan's Island","Charleston County","SC","","","","Barkley Family Letters, 1861-1864 "
"Barkley11"," George R. Barkley ,  Martin V.  Barkley "," Eliab Hazard Barkley ","June 23, 1862","James Island","Charleston County","SC","","","","Barkley Family Letters, 1861-1864 "
"Barkley11"," George R. Barkley ,  Martin V.  Barkley "," Eliab Hazard Barkley ","June 23, 1862","James Island","Charleston County","SC","","","","Barkley Family Letters, 1861-1864 "
"Barkley12"," Josiah M. Barkley ,  Elizabeth   Barkley "," George R. Barkley ,  Martin V.  Barkley ","June 23, 1862","","Anderson County","SC","","","","Barkley Family Letters, 1861-1864 "
"Barkley12"," Josiah M. Barkley ,  Elizabeth   Barkley "," George R. Barkley ,  Martin V.  Barkley ","June 23, 1862","","Anderson County","SC","","","","Barkley Family Letters, 1861-1864 "
