"Title","Author","Recipient","Date","","","From","","","To","Collection"
"Amick15"," James Joshua Amick "," Mahala C. Amick ","October 7, 1863","Chattanooga","","TN","","Lexington County","SC","James Joshua Amick papers"
"Amick16"," James Joshua Amick "," Mahala C. Amick ","October 26, 1863","Chattanooga","","TN","","Lexington County","SC","James Joshua Amick papers"
"Amick17"," James Joshua Amick "," Mahala C. Amick ","November 3, 1863","Chattanooga","","TN","","Lexington County","SC","James Joshua Amick papers"
"Amick18"," James Joshua Amick "," Mahala C. Amick ","January 19, 1864","Russellville","","TN","","Lexington County","SC","James Joshua Amick papers"
"Amick19"," James Joshua Amick "," Mahala C. Amick ","February 14, 1864","","","TN","","Lexington County","SC","James Joshua Amick papers"
"Amick20"," James Joshua Amick "," Mahala C. Amick ","February 24, 1864","Greeneville","","TN","","Lexington County","SC","James Joshua Amick papers"
"Athey1"," George W. Athey "," William  Athey ,  Jane  Athey ","January 18, 1862","Shelbyville","Bedford County","TN","","Montgomery County","AL","Athey Family Letters"
"Athey1"," George W. Athey "," William  Athey ,  Jane  Athey ","January 18, 1862","Shelbyville","Bedford County","TN","","Montgomery County","AL","Athey Family Letters"
"Athey10"," W. Champion Athey "," Matilda  Athey ","May 25, 1863","Cumberland Gap","Claiborne County","TN","","Montgomery County","AL","Athey Family Letters"
"Athey11"," J. H. Lacy "," Emily  Athey ","July 8, 1863","Morristown","Grainger County","TN","","Montgomery County","AL","Athey Family Letters"
"Athey21"," George W. Athey "," Emily  Athey ","","Nashville","Davidson County","TN","","Montgomery County","AL","Athey Family Letters"
"Athey6"," W. Champion Athey "," Jane  Athey ,  Emily  Athey ","August 2, 1862","Chattanooga","Hamilton County","TN","","Montgomery County","AL","Athey Family Letters"
"Athey6"," W. Champion Athey "," Jane  Athey ,  Emily  Athey ","August 2, 1862","Chattanooga","Hamilton County","TN","","Montgomery County","AL","Athey Family Letters"
