"Title","Author","Recipient","Date","","","From","","","To","Collection"
"Blackington22"," Jacob  A.  Blackington "," Hannah  Blackington ","October 4, 1862","Bolivar","","WV","North Attleboro","Bristol County","MA","Lyman and Jacob Blackington Papers"
"Blackington24"," Jacob  A.  Blackington "," Hannah  Blackington ","October 14, 1862","Bolivar","","WV","North Attleboro","Bristol County","MA","Lyman and Jacob Blackington Papers"
"Blackington25"," Jacob  A.  Blackington "," Hannah  Blackington ","October 22, 1862","Bolivar","","WV","North Attleboro","Bristol County","MA","Lyman and Jacob Blackington Papers"
"Compson20"," John W. Compton  "," Naomi  Compton ,  Mary Jane Compton ","August 18, 1865","Petroleum","Ritchie County","WV","","Indiana County","PA","John W. Compton Letters"
"Compson20"," John W. Compton  "," Naomi  Compton ,  Mary Jane Compton ","August 18, 1865","Petroleum","Ritchie County","WV","","Indiana County","PA","John W. Compton Letters"
"Compson21"," John W. Compton  "," Naomi  Compton ,  Mary Jane Compton ","August 28, 1865","Clarksburg","","WV","","Indiana County","PA","John W. Compton Letters"
"Compson21"," John W. Compton  "," Naomi  Compton ,  Mary Jane Compton ","August 28, 1865","Clarksburg","","WV","","Indiana County","PA","John W. Compton Letters"
"Compton11"," John W. Compton  "," Naomi  Compton ,  Mary Jane Compton ","May 16, 1865","Beverly","","WV","","Indiana County","PA","John W. Compton Letters"
"Compton11"," John W. Compton  "," Naomi  Compton ,  Mary Jane Compton ","May 16, 1865","Beverly","","WV","","Indiana County","PA","John W. Compton Letters"
"Compton13"," John W. Compton  "," Naomi  Compton ,  Mary Jane Compton ","June 12, 1865","Petroleum","Ritchie County","WV","","Indiana County","PA","John W. Compton Letters"
"Compton13"," John W. Compton  "," Naomi  Compton ,  Mary Jane Compton ","June 12, 1865","Petroleum","Ritchie County","WV","","Indiana County","PA","John W. Compton Letters"
"Compton14"," John W. Compton  "," Naomi  Compton ,  Mary Jane Compton ","June 20, 1865","Petroleum","Ritchie County","WV","","Indiana County","PA","John W. Compton Letters"
"Compton14"," John W. Compton  "," Naomi  Compton ,  Mary Jane Compton ","June 20, 1865","Petroleum","Ritchie County","WV","","Indiana County","PA","John W. Compton Letters"
"Compton15"," John W. Compton  "," Naomi  Compton ,  Mary Jane Compton ","July 2, 1865","Petroleum","Ritchie County","WV","","Indiana County","PA","John W. Compton Letters"
"Compton15"," John W. Compton  "," Naomi  Compton ,  Mary Jane Compton ","July 2, 1865","Petroleum","Ritchie County","WV","","Indiana County","PA","John W. Compton Letters"
"Compton16"," John W. Compton  "," Naomi  Compton ,  Mary Jane Compton ","July 15, 1865","Petroleum","Ritchie County","WV","","Indiana County","PA","John W. Compton Letters"
"Compton16"," John W. Compton  "," Naomi  Compton ,  Mary Jane Compton ","July 15, 1865","Petroleum","Ritchie County","WV","","Indiana County","PA","John W. Compton Letters"
"Compton17"," John W. Compton  "," Naomi  Compton ,  Mary Jane Compton ","August 11, 1865","Petroleum","Ritchie County","WV","","Indiana County","PA","John W. Compton Letters"
"Compton17"," John W. Compton  "," Naomi  Compton ,  Mary Jane Compton ","August 11, 1865","Petroleum","Ritchie County","WV","","Indiana County","PA","John W. Compton Letters"
"Compton19"," John W. Compton  "," Naomi  Compton ,  Mary Jane Compton ","August 16, 1865","Petroleum","Ritchie County","WV","","Indiana County","PA","John W. Compton Letters"
"Compton19"," John W. Compton  "," Naomi  Compton ,  Mary Jane Compton ","August 16, 1865","Petroleum","Ritchie County","WV","","Indiana County","PA","John W. Compton Letters"
"Compton4"," John W. Compton  "," Naomi  Compton ,  Mary Jane Compton ","March 26, 1865","Green Spring","","WV","Green Spring","","PA","John W. Compton Letters"
"Compton4"," John W. Compton  "," Naomi  Compton ,  Mary Jane Compton ","March 26, 1865","Green Spring","","WV","Green Spring","","PA","John W. Compton Letters"
"Compton6"," John W. Compton  "," Naomi  Compton ,  Mary Jane Compton ","April 8, 1865","Beverly","","WV","","Indiana County","PA","John W. Compton Letters"
"Compton6"," John W. Compton  "," Naomi  Compton ,  Mary Jane Compton ","April 8, 1865","Beverly","","WV","","Indiana County","PA","John W. Compton Letters"
"Compton7"," John W. Compton  "," Naomi  Compton ,  Mary Jane Compton ","April 11, 1865","Beverly","","WV","","Indiana County","PA","John W. Compton Letters"
"Compton7"," John W. Compton  "," Naomi  Compton ,  Mary Jane Compton ","April 11, 1865","Beverly","","WV","","Indiana County","PA","John W. Compton Letters"
"Compton8"," John W. Compton  "," Mary Jane Compton ","April 16, 1865","Beverly","","WV","","Indiana County","PA","John W. Compton Letters"
